name,artists,release_date,genres,common_genre,duration,popularity,source_genre,lines_count,word_count,unique_words,stopwords_count,avg_word_length,chorus_count,verse_count,neg,neu,pos,compound
Die Young,Kesha,2012-11-30,"['dance pop', 'pop']",pop,211920,81,Dance,76,412,126,181,4.029126213592233,2,2,0.178,0.718,0.104,-0.9913
Maneater,Nelly Furtado,2006-01-01,"['canadian latin', 'canadian pop', 'dance pop', 'pop']",pop,258893,83,Dance,70,286,122,100,3.6468531468531467,2,1,0.069,0.805,0.127,0.967
Down,Jay Sean,2009-01-01,"['dance pop', 'pop', 'pop rap']",pop,212506,81,Dance,91,468,169,259,3.9957264957264957,1,3,0.077,0.807,0.116,0.9805
It Wasn't Me,Shaggy,2000-08-08,"['dance pop', 'pop rap', 'reggae fusion']",pop,227600,82,Dance,34,192,142,91,3.90625,1,1,0.039,0.874,0.088,0.8865
Marry You,Bruno Mars,2010-10-05,"['dance pop', 'pop']",pop,230192,78,Dance,59,344,124,166,3.9098837209302326,1,3,0.045,0.7,0.255,0.9968
Rock Your Body,Justin Timberlake,2002-11-04,"['dance pop', 'pop']",pop,267266,80,Dance,116,679,200,344,3.960235640648012,2,2,0.03,0.845,0.124,0.9969
Cake By The Ocean,DNCE,2016-11-18,"['dance pop', 'pop']",pop,219146,84,Dance,61,457,165,179,4.601750547045952,1,3,0.147,0.729,0.124,-0.8659
Where You Are,John Summit,2023-03-03,"['house', 'tech house', 'uk dance']",dance,236000,80,Dance,48,204,62,125,3.8970588235294117,2,3,0.071,0.825,0.104,0.3591
Bloody Mary,Lady Gaga,2011-01-01,"['art pop', 'dance pop', 'pop']",pop,244760,77,Dance,86,301,113,104,4.428571428571429,1,3,0.078,0.798,0.124,0.8891
The Middle,Zedd,2018-01-23,"['complextro', 'edm', 'german techno', 'pop', 'pop dance']",pop,184732,82,Dance,57,372,118,215,3.9704301075268815,2,3,0.1,0.879,0.021,-0.9767
Treasure,Bruno Mars,2012-12-07,"['dance pop', 'pop']",pop,178560,83,Dance,61,334,109,182,4.182634730538922,1,2,0.007,0.711,0.282,0.9986
Titanium (feat. Sia),David Guetta,2011-08-24,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",pop,245040,73,Dance,47,224,85,107,4.223214285714286,2,2,0.237,0.679,0.084,-0.9902
24K Magic,Bruno Mars,2016-11-17,"['dance pop', 'pop']",pop,225983,82,Dance,74,492,225,195,4.376016260162602,2,3,0.086,0.843,0.072,-0.906
Shallow,Lady Gaga,2018-10-05,"['art pop', 'dance pop', 'pop']",pop,215733,87,Dance,42,224,99,100,4.553571428571429,2,2,0.087,0.803,0.11,0.6886
Out Of That Truck,Carrie Underwood,2023-03-10,"['classic oklahoma country', 'contemporary country', 'country', 'country dawn', 'dance pop']",country,177400,76,Dance,24,208,118,88,4.163461538461538,2,2,0.084,0.788,0.128,0.9326
